Year,Month,Day,Hour,Minute,Second,FracSec,MagX,MagY,MagZ,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Yaw,Pitch,Roll,QuatX,QuatY,QuatZ,QuatS
-20,1,6,1,9,59,303,+0.325,-0.411,+0.344,-00.0034,+00.0061,-09.1539,+00.000424,-00.000602,+00.000798,-078.032,+000.248,-000.018,+0.001243768,+1.78271E-003,-6.29534E-001,+7.76970E-001
-20,1,6,1,9,59,305,+0.329,-0.411,+0.344,+00.0362,+00.0140,-09.1522,+00.000027,-00.000336,+00.000834,-078.032,+000.248,-000.018,+0.001243294,+1.78156E-003,-6.29534E-001,+7.76970E-001
-20,1,6,1,9,59,308,+0.329,-0.411,+0.344,+00.0794,+00.0213,-09.1905,+00.000050,-00.000411,+00.000384,-078.032,+000.248,-000.018,+0.001241741,+1.78222E-003,-6.29534E-001,+7.76970E-001
-20,1,6,1,9,59,310,+0.321,-0.408,+0.344,+00.0172,-00.0175,-09.1690,+00.000351,+00.000294,+00.000101,-078.032,+000.248,-000.018,+0.001242886,+1.78224E-003,-6.29534E-001,+7.76970E-001
-20,1,6,1,9,59,313,+0.333,-0.416,+0.348,+00.0297,-00.0141,-09.1453,+00.000020,+00.000720,-00.000906,-078.032,+000.248,-000.018,+0.001243069,+1.77928E-003,-6.29535E-001,+7.76969E-001
-20,1,6,1,9,59,315,+0.333,-0.416,+0.348,+00.0598,+00.0180,-09.1465,-00.001445,+00.000306,-00.000541,-078.032,+000.248,-000.018,+0.001240793,+1.78053E-003,-6.29535E-001,+7.76969E-001
-20,1,6,1,9,59,318,+0.331,-0.411,+0.346,-00.0044,-00.0076,-09.1658,-00.001331,+00.000042,-00.000077,-078.032,+000.248,-000.018,+0.00124069,+1.78539E-003,-6.29535E-001,+7.76969E-001
-20,1,6,1,9,59,320,+0.331,-0.411,+0.346,+00.0191,-00.0014,-09.1795,-00.000147,+00.000494,-00.000690,-078.032,+000.249,-000.018,+0.001241425,+1.78565E-003,-6.29536E-001,+7.76968E-001
-20,1,6,1,9,59,323,+0.329,-0.412,+0.347,+00.0620,+00.0126,-09.1572,-00.000074,+00.000083,-00.000904,-078.032,+000.248,-000.018,+0.001239241,+1.78275E-003,-6.29537E-001,+7.76968E-001
-20,1,6,1,9,59,325,+0.329,-0.412,+0.347,-00.0027,-00.0087,-09.1703,+00.000211,+00.000388,-00.000441,-078.032,+000.248,-000.018,+0.00124101,+1.78315E-003,-6.29537E-001,+7.76968E-001
-20,1,6,1,9,59,328,+0.325,-0.413,+0.343,+00.0134,+00.0020,-09.1785,+00.000233,+00.000319,+00.000197,-078.032,+000.248,-000.018,+0.00123837,+1.77686E-003,-6.29537E-001,+7.76968E-001
-20,1,6,1,9,59,330,+0.324,-0.409,+0.344,+00.0833,+00.0482,-09.1629,-00.000072,-00.000413,+00.000265,-078.032,+000.247,-000.018,+0.001237582,+1.77618E-003,-6.29537E-001,+7.76968E-001
-20,1,6,1,9,59,333,+0.324,-0.409,+0.344,+00.0106,+00.0321,-09.1334,+00.000307,+00.000163,-00.000441,-078.032,+000.248,-000.019,+0.001237252,+1.78631E-003,-6.29538E-001,+7.76967E-001
-20,1,6,1,9,59,335,+0.327,-0.411,+0.341,-00.0174,-00.0042,-09.1397,-00.000173,+00.000425,-00.000293,-078.032,+000.248,-000.019,+0.00123676,+1.78704E-003,-6.29537E-001,+7.76968E-001
-20,1,6,1,9,59,338,+0.327,-0.411,+0.341,+00.0652,+00.0131,-09.2060,-00.000441,+00.000145,-00.000317,-078.032,+000.248,-000.019,+0.001233481,+1.78198E-003,-6.29538E-001,+7.76967E-001
-20,1,6,1,9,59,340,+0.329,-0.413,+0.348,+00.0420,+00.0072,-09.2105,-00.000316,-00.000223,-00.000271,-078.032,+000.248,-000.019,+0.001232653,+1.78180E-003,-6.29538E-001,+7.76967E-001
-20,1,6,1,9,59,343,+0.327,-0.408,+0.343,+00.0087,-00.0139,-09.2044,-00.000728,-00.000063,+00.000902,-078.032,+000.248,-000.019,+0.001231782,+1.78348E-003,-6.29536E-001,+7.76968E-001
-20,1,6,1,9,59,345,+0.327,-0.408,+0.343,+00.0756,-00.0033,-09.2066,-00.000696,+00.000417,+00.000570,-078.032,+000.248,-000.019,+0.001231771,+1.78418E-003,-6.29536E-001,+7.76968E-001
