,xAcc,yAcc,zAcc
415,0.0715,0.0037,-9.1527
416,0.0294,0.0014,-9.1454
417,-0.0123,-0.0177,-9.1626
418,0.0717,-0.0018,-9.1827
419,0.0512,0.02,-9.206
420,-0.0058,-0.0103,-9.182
421,0.0623,-0.0012,-9.1612
422,0.0739,0.007,-9.1768
423,0.0132,-0.0088,-9.1645
424,0.0521,0.0238,-9.1673
425,0.0567,0.0251,-9.1829
426,0.0029,-0.0053,-9.1567
427,0.0361,0.0001,-9.1456
428,0.0411,0.0004,-9.1349
429,-0.0274,-0.0155,-9.13
430,0.0253,0.0161,-9.1702
431,0.0796,0.0367,-9.1532
432,0.0088,-0.0055,-9.12
433,0.0272,-0.0118,-9.1586
434,0.0663,0.0148,-9.2006
435,0.0014,-0.0182,-9.2021
436,0.0236,-0.021,-9.1914
437,0.0761,0.0216,-9.1886
438,-0.002,-0.0119,-9.1692
439,0.0086,-0.0217,-9.1551
440,0.0803,0.0028,-9.1675
441,0.0189,-0.019,-9.1728
442,0.0002,-0.031,-9.1488
443,0.0709,-0.012,-9.1329
444,0.0271,-0.0081,-9.1425
445,-0.0171,-0.0187,-9.1255
446,0.0583,-0.0082,-9.1452
447,0.0302,-0.0142,-9.1797
448,-0.0004,-0.0358,-9.1649
449,0.0871,-0.0039,-9.1757
450,0.0704,-0.0036,-9.1941
451,0.0099,-0.031,-9.1682
452,0.0631,-0.0074,-9.151
453,0.0558,-0.0157,-9.17
454,-0.0115,-0.0288,-9.1534
455,0.0508,-0.0031,-9.1508
456,0.0559,-0.0013,-9.1748
457,0.0005,-0.0173,-9.1547
458,0.0728,0.0043,-9.1432
459,0.0877,0.0075,-9.1693
460,0.0126,-0.0181,-9.1658
461,0.0447,-0.0057,-9.1423
462,0.0784,0.0075,-9.1611
463,0.0,-0.0099,-9.1693
464,0.0128,-0.0169,-9.1595
465,0.0739,-0.0039,-9.1792
466,0.034,-0.0212,-9.1668
467,0.0418,-0.024,-9.1486
468,0.0916,0.0155,-9.1732
469,0.0267,0.0068,-9.1679
470,0.0201,0.0003,-9.1538
471,0.0836,0.0385,-9.152
472,0.0376,0.0144,-9.1601
