,Yaw,Pitch,Roll
740,-79.503,0.206,-0.037
741,-79.555,0.206,-0.037
742,-79.603,0.206,-0.037
743,-79.65,0.206,-0.038
744,-79.703,0.206,-0.038
745,-79.77,0.206,-0.038
746,-79.854,0.206,-0.038
747,-79.955,0.206,-0.038
748,-80.065,0.206,-0.039
749,-80.176,0.205,-0.039
750,-80.284,0.205,-0.039
751,-80.386,0.205,-0.039
752,-80.477,0.205,-0.039
753,-80.565,0.205,-0.039
754,-80.645,0.205,-0.039
755,-80.724,0.205,-0.04
756,-80.802,0.204,-0.04
757,-80.881,0.204,-0.04
758,-80.958,0.204,-0.04
759,-81.027,0.204,-0.04
760,-81.086,0.204,-0.04
761,-81.142,0.204,-0.04
762,-81.198,0.204,-0.04
763,-81.255,0.203,-0.04
764,-81.315,0.203,-0.041
765,-81.379,0.203,-0.041
766,-81.44,0.203,-0.041
767,-81.495,0.203,-0.041
768,-81.538,0.203,-0.042
769,-81.571,0.203,-0.042
770,-81.594,0.203,-0.042
771,-81.61,0.203,-0.042
772,-81.618,0.203,-0.042
773,-81.62,0.202,-0.042
774,-81.62,0.202,-0.042
775,-81.62,0.202,-0.042
776,-81.62,0.203,-0.042
777,-81.62,0.203,-0.042
778,-81.62,0.203,-0.042
779,-81.62,0.203,-0.042
780,-81.62,0.203,-0.042
781,-81.62,0.203,-0.042
782,-81.62,0.203,-0.042
783,-81.62,0.203,-0.042
784,-81.62,0.203,-0.042
785,-81.62,0.203,-0.042
786,-81.62,0.203,-0.042
787,-81.62,0.203,-0.043
788,-81.62,0.203,-0.043
789,-81.62,0.203,-0.043
790,-81.62,0.203,-0.043
791,-81.62,0.203,-0.043
792,-81.62,0.203,-0.043
793,-81.62,0.203,-0.043
794,-81.62,0.203,-0.043
795,-81.62,0.203,-0.043
796,-81.62,0.203,-0.043
797,-81.619,0.203,-0.043
798,-81.619,0.202,-0.043
799,-81.62,0.202,-0.043
800,-81.62,0.202,-0.043
801,-81.62,0.202,-0.043
802,-81.62,0.202,-0.043
803,-81.619,0.202,-0.044
804,-81.619,0.203,-0.044
805,-81.619,0.203,-0.043
806,-81.619,0.203,-0.043
807,-81.619,0.203,-0.043
808,-81.619,0.203,-0.043
809,-81.619,0.203,-0.043
810,-81.619,0.202,-0.043
811,-81.619,0.202,-0.043
812,-81.619,0.202,-0.043
813,-81.619,0.202,-0.043
814,-81.62,0.202,-0.043
815,-81.62,0.202,-0.043
816,-81.62,0.202,-0.043
817,-81.62,0.202,-0.044
818,-81.62,0.202,-0.044
819,-81.62,0.202,-0.044
820,-81.62,0.202,-0.044
821,-81.62,0.202,-0.044
822,-81.62,0.202,-0.044
823,-81.62,0.202,-0.044
824,-81.62,0.202,-0.044
825,-81.619,0.202,-0.044
826,-81.619,0.202,-0.044
827,-81.619,0.202,-0.044
828,-81.62,0.202,-0.044
829,-81.62,0.202,-0.044
830,-81.62,0.202,-0.044
831,-81.62,0.202,-0.044
832,-81.62,0.202,-0.044
833,-81.62,0.202,-0.044
834,-81.62,0.202,-0.044
835,-81.62,0.202,-0.044
836,-81.62,0.202,-0.044
837,-81.62,0.202,-0.044
838,-81.62,0.202,-0.044
839,-81.62,0.202,-0.044
840,-81.62,0.202,-0.044
841,-81.62,0.202,-0.044
842,-81.62,0.202,-0.044
843,-81.62,0.202,-0.044
844,-81.62,0.202,-0.044
845,-81.62,0.202,-0.044
846,-81.62,0.202,-0.044
847,-81.62,0.202,-0.044
848,-81.62,0.202,-0.044
849,-81.62,0.202,-0.044
850,-81.62,0.202,-0.044
851,-81.62,0.202,-0.044
852,-81.62,0.202,-0.044
853,-81.621,0.202,-0.044
854,-81.621,0.202,-0.044
855,-81.621,0.202,-0.044
856,-81.62,0.202,-0.044
857,-81.62,0.202,-0.044
858,-81.621,0.202,-0.044
859,-81.621,0.202,-0.044
860,-81.621,0.202,-0.044
861,-81.621,0.202,-0.044
862,-81.62,0.202,-0.044
863,-81.62,0.202,-0.044
864,-81.62,0.202,-0.044
865,-81.62,0.202,-0.045
866,-81.62,0.202,-0.044
867,-81.62,0.202,-0.044
868,-81.621,0.202,-0.044
869,-81.62,0.202,-0.044
