,xAcc,yAcc,zAcc
609,-0.0823,0.0173,1.0149
610,-0.0752,0.0122,1.0007
611,-0.0664,0.0188,0.9934
612,-0.0649,0.0278,0.9819
613,-0.0649,0.0125,0.9692
614,-0.0632,0.0278,0.9626
615,-0.0598,0.0288,0.9436
616,-0.0632,0.0107,0.9426
617,-0.0552,0.0229,0.9395
618,-0.0486,0.0251,0.9375
619,-0.0486,0.0271,0.9243
620,-0.0498,0.0239,0.9233
621,-0.0425,0.0286,0.9211
622,-0.0403,0.0251,0.9133
623,-0.041,0.0261,0.9182
624,-0.0386,0.0256,0.9204
625,-0.0422,0.0288,0.9236
626,-0.0386,0.0234,0.9287
627,-0.0393,0.0288,0.928
628,-0.0457,0.0369,0.9329
629,-0.043,0.03,0.9478
630,-0.0359,0.0298,0.9482
631,-0.0349,0.0247,0.9595
632,-0.041,0.0264,0.9673
633,-0.0303,0.0325,0.9812
634,-0.0339,0.0291,0.9939
635,-0.0369,0.0317,1.0061
636,-0.0364,0.0244,1.021
637,-0.0364,0.0247,1.0283
638,-0.0383,0.0291,1.0378
639,-0.0427,0.0359,1.0569
640,-0.0364,0.0344,1.0735
641,-0.0354,0.0361,1.0825
642,-0.0359,0.0237,1.0801
643,-0.0393,0.0122,1.0823
644,-0.0491,0.0225,1.1001
645,-0.0437,0.033,1.1189
646,-0.0439,0.0293,1.1382
647,-0.0476,0.0269,1.1528
648,-0.051,0.0293,1.1597
649,-0.0569,0.0308,1.165
650,-0.0537,0.019,1.1755
651,-0.0588,0.0266,1.1743
652,-0.0601,0.0193,1.1719
653,-0.0635,0.0176,1.175
654,-0.0645,0.0352,1.1909
655,-0.0693,0.0347,1.1973
656,-0.0667,0.021,1.1858
657,-0.0757,0.02,1.1763
658,-0.0713,0.012,1.1804
659,-0.071,0.0144,1.1865
660,-0.071,0.0168,1.1819
661,-0.0737,0.0122,1.1768
662,-0.0732,0.0093,1.157
663,-0.0713,0.0154,1.1499
664,-0.0754,0.0093,1.1433
665,-0.072,0.0054,1.1436
666,-0.0684,0.0027,1.1064
667,-0.0698,0.0061,1.0967
668,-0.0649,0.0039,1.1042
669,-0.0605,0.0056,1.0776
670,-0.0623,0.0032,1.0515
671,-0.0591,0.002,1.0518
672,-0.0544,0.0002,1.0505
673,-0.0549,-0.0012,1.0386
674,-0.0493,-0.0029,1.0195
675,-0.0491,-0.0007,1.0142
676,-0.0442,-0.002,1.0098
677,-0.0371,-0.0056,0.9912
678,-0.0391,0.0017,0.9851
679,-0.0337,-0.009,0.9639
680,-0.0298,-0.0142,0.9531
681,-0.0229,-0.0078,0.9619
682,-0.0269,-0.0002,0.9495
683,-0.0183,-0.0095,0.9426
684,-0.0146,-0.0059,0.9255
685,-0.0095,-0.0112,0.9285
686,-0.0122,-0.0076,0.928
687,-0.0093,-0.0095,0.9253
688,-0.0103,-0.0129,0.9099
689,-0.0117,-0.0132,0.9121
690,-0.0115,-0.0051,0.9207
691,-0.0027,-0.0071,0.9241
692,0.001,-0.0115,0.9185
693,-0.0103,-0.0132,0.9189
694,-0.0012,-0.0066,0.9458
695,-0.0042,-0.0134,0.95
696,-0.002,-0.011,0.9412
697,-0.0105,-0.0122,0.958
698,-0.0112,-0.0071,0.9707
699,-0.0122,-0.0061,0.9736
700,-0.0122,-0.0076,0.9883
701,-0.019,-0.0022,0.9897
702,-0.0234,-0.0073,1.0134
703,-0.0237,-0.0081,1.021
704,-0.0195,-0.001,1.04
705,-0.0303,0.0005,1.0376
706,-0.03,0.001,1.0503
707,-0.0347,0.0024,1.0615
708,-0.0295,-0.0042,1.0754
709,-0.0378,-0.0002,1.0959
710,-0.0337,0.0022,1.0994
711,-0.0386,0.0039,1.106
712,-0.0344,0.0059,1.1162
713,-0.0383,-0.0027,1.1194
714,-0.0371,0.0044,1.1433
715,-0.0459,0.0073,1.1472
716,-0.04,0.0105,1.1755
717,-0.0383,-0.0063,1.1536
718,-0.0396,0.0083,1.1594
719,-0.0449,0.0117,1.1636
720,-0.0398,0.0056,1.1677
721,-0.0378,0.0085,1.1719
722,-0.0347,0.011,1.1729
723,-0.0413,0.0032,1.1611
724,-0.0386,0.0017,1.1604
725,-0.0308,0.0171,1.1653
726,-0.0405,0.0134,1.1589
727,-0.0415,0.0154,1.1553
728,-0.0437,0.0105,1.1541
729,-0.0447,0.0093,1.1521
730,-0.0481,0.0144,1.135
731,-0.0493,0.01,1.1279
732,-0.05,0.0178,1.1252
733,-0.0479,0.0193,1.1086
734,-0.0559,0.0112,1.0933
735,-0.0469,0.0132,1.0891
736,-0.0459,0.0178,1.0754
737,-0.0562,0.0266,1.0625
738,-0.0481,0.0244,1.0461
739,-0.0498,0.0251,1.0469
740,-0.0486,0.0173,1.0378
741,-0.0527,0.0198,1.0212
742,-0.0518,0.0171,1.0098
743,-0.0491,0.0229,0.9944
744,-0.0442,0.0283,0.9905
745,-0.0425,0.0298,0.9817
746,-0.0515,0.0266,0.9673
747,-0.0471,0.0242,0.9626
748,-0.0486,0.0208,0.9431
749,-0.0447,0.0205,0.9502
750,-0.0408,0.0354,0.9463
751,-0.043,0.0217,0.9348
752,-0.0425,0.0264,0.9272
753,-0.0354,0.0266,0.9292
754,-0.0354,0.0281,0.936
755,-0.0322,0.0247,0.9336
756,-0.032,0.0203,0.9333
