TimeStartup,TimeGps,TimeSyncIn,Yaw,Pitch,Roll,GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ,UncompAccX,UncompAccY,UncompAccZ,UncompGyroX,UncompGyroY,UncompGyroZ,MagX,MagY,MagZ,Temperature,Pressure
258930007000,258930007000,258930007000,-144.208,-000.087,+000.156,-00.000203,+00.001247,-00.000517,-00.0478,-00.0408,-09.7519,-00.0478,-00.0408,-09.7519,-00.000201,+00.001351,-00.001696,-0.545,+0.811,+1.239,+036.52,+100.09
258932507000,258932507000,258932507000,-144.208,-000.087,+000.156,+00.001104,+00.001990,+00.000135,+00.0086,-00.0163,-09.7484,+00.0086,-00.0163,-09.7484,+00.001107,+00.002094,-00.001044,-0.538,+0.811,+1.237,+036.52,+100.09
258935007000,258935007000,258935007000,-144.208,-000.087,+000.156,+00.001343,+00.001069,-00.000045,-00.0191,-00.0137,-09.7627,-00.0191,-00.0137,-09.7627,+00.001346,+00.001174,-00.001224,-0.543,+0.814,+1.243,+036.52,+100.09
258937507000,258937507000,258937507000,-144.208,-000.087,+000.156,+00.000340,-00.000044,-00.000660,-00.0640,-00.0320,-09.7796,-00.0640,-00.0320,-09.7796,+00.000343,+00.000061,-00.001839,-0.543,+0.814,+1.243,+036.52,+100.08
258940007000,258940007000,258940007000,-144.208,-000.087,+000.156,-00.000204,-00.000184,-00.000477,+00.0079,-00.0078,-09.7887,+00.0079,-00.0078,-09.7887,-00.000202,-00.000079,-00.001656,-0.541,+0.813,+1.240,+036.52,+100.08
258942507000,258942507000,258942507000,-144.208,-000.087,+000.156,+00.000644,+00.000465,-00.000702,-00.0025,-00.0079,-09.7762,-00.0025,-00.0079,-09.7762,+00.000647,+00.000569,-00.001881,-0.541,+0.813,+1.240,+036.52,+100.10
258945007000,258945007000,258945007000,-144.208,-000.087,+000.156,-00.000230,+00.000667,-00.000065,-00.0312,-00.0303,-09.7746,-00.0312,-00.0303,-09.7746,-00.000227,+00.000771,-00.001244,-0.542,+0.809,+1.244,+036.52,+100.10
258947507000,258947507000,258947507000,-144.208,-000.087,+000.156,-00.000534,-00.000497,+00.000110,+00.0183,-00.0068,-09.7826,+00.0183,-00.0068,-09.7826,-00.000531,-00.000393,-00.001069,-0.540,+0.811,+1.240,+036.52,+100.09
258950007000,258950007000,258950007000,-144.208,-000.087,+000.156,+00.000592,-00.001606,-00.000207,-00.0126,-00.0082,-09.7661,-00.0126,-00.0082,-09.7661,+00.000595,-00.001502,-00.001386,-0.540,+0.811,+1.240,+036.52,+100.09
258952507000,258952507000,258952507000,-144.208,-000.088,+000.156,+00.000476,-00.000807,-00.000766,-00.0400,-00.0220,-09.7640,-00.0400,-00.0220,-09.7640,+00.000479,-00.000702,-00.001945,-0.541,+0.816,+1.241,+036.52,+100.09
258955007000,258955007000,258955007000,-144.208,-000.087,+000.156,-00.000128,+00.000019,-00.000605,+00.0312,-00.0060,-09.7741,+00.0312,-00.0060,-09.7741,-00.000125,+00.000124,-00.001784,-0.541,+0.816,+1.241,+036.52,+100.09
258957507000,258957507000,258957507000,-144.208,-000.087,+000.156,-00.000498,+00.000241,+00.000293,-00.0078,-00.0309,-09.7828,-00.0078,-00.0309,-09.7828,-00.000495,+00.000346,-00.000886,-0.547,+0.811,+1.243,+036.52,+100.09
258960007000,258960007000,258960007000,-144.208,-000.087,+000.155,-00.000844,-00.000244,+00.000205,-00.0631,-00.0514,-09.7835,-00.0631,-00.0514,-09.7835,-00.000841,-00.000139,-00.000974,-0.547,+0.811,+1.243,+036.52,+100.09
258962507000,258962507000,258962507000,-144.208,-000.088,+000.156,-00.000558,+00.000064,-00.000070,+00.0165,-00.0202,-09.7813,+00.0165,-00.0202,-09.7813,-00.000556,+00.000169,-00.001249,-0.540,+0.813,+1.241,+036.52,+100.09
258965007000,258965007000,258965007000,-144.208,-000.088,+000.156,-00.000122,-00.000423,-00.000176,-00.0103,-00.0099,-09.7992,-00.0103,-00.0099,-09.7992,-00.000119,-00.000318,-00.001355,-0.545,+0.814,+1.239,+036.52,+100.09
258967507000,258967507000,258967507000,-144.208,-000.088,+000.155,-00.000546,-00.000990,-00.000649,-00.0623,-00.0138,-09.8012,-00.0623,-00.0138,-09.8012,-00.000543,-00.000886,-00.001828,-0.545,+0.814,+1.239,+036.52,+100.09
258970007000,258970007000,258970007000,-144.208,-000.088,+000.155,-00.000353,-00.000081,-00.000999,+00.0124,+00.0143,-09.7947,+00.0124,+00.0143,-09.7947,-00.000350,+00.000023,-00.002178,-0.546,+0.811,+1.236,+036.52,+100.09
258972507000,258972507000,258972507000,-144.208,-000.087,+000.155,+00.000225,-00.000230,-00.000548,-00.0067,-00.0092,-09.7803,-00.0067,-00.0092,-09.7803,+00.000227,-00.000126,-00.001727,-0.546,+0.811,+1.236,+036.52,+100.09
258975007000,258975007000,258975007000,-144.209,-000.087,+000.155,-00.000167,+00.000189,-00.000755,-00.0457,-00.0501,-09.7726,-00.0457,-00.0501,-09.7726,-00.000164,+00.000294,-00.001934,-0.548,+0.816,+1.240,+036.52,+100.09
258977507000,258977507000,258977507000,-144.209,-000.088,+000.155,+00.000239,+00.000446,-00.000866,+00.0256,-00.0182,-09.7543,+00.0256,-00.0182,-09.7543,+00.000241,+00.000550,-00.002045,-0.547,+0.814,+1.239,+036.52,+100.09
258980007000,258980007000,258980007000,-144.209,-000.088,+000.156,+00.001363,-00.000632,+00.000059,-00.0074,-00.0154,-09.7466,-00.0074,-00.0154,-09.7466,+00.001366,-00.000528,-00.001120,-0.547,+0.814,+1.239,+036.52,+100.09
